#MJD	log(Lx_bol)	log(Lx/L_Edd)	log(L_opt)	log(Lopt/L_Edd)
				
52350.22855	36.01069546875216	-2.8605270880075464	35.15277069060024	-3.718451866159465
				
				
				
				
				
				
				
				
52359.494099999996	36.80233738081726	-2.0688851759424507	35.46077069060024	-3.410451866159465
				
				
				
				
52366.47045	38.02168596131515	-0.8495365954445572	35.776770690600245	-3.0944518661594627
52367.57605	38.194668233170816	-0.676554323588891	35.84877069060024	-3.022451866159467
				
				
52371.4204	38.4231708519108	-0.4480517048489102	36.044770690600245	-2.826451866159462
				
52373.27485	38.61654601842665	-0.2546765383330606	36.08077069060024	-2.7904518661594677
52382.23435	38.59933419184197	-0.2718883649177383	36.148770690600244	-2.7224518661594628
52383.21765	38.60592916865224	-0.26529338810746855	36.136770690600244	-2.7344518661594632
52384.223450000005	38.60949234050164	-0.26173021625806825	36.09277069060024	-2.7784518661594673
52386.1875	38.61866065561372	-0.2525619011459835	36.200770690600244	-2.670451866159463
52388.19595	38.62708533841287	-0.24413721834683857	36.18077069060024	-2.6904518661594663
52390.587450000006	38.65084533898512	-0.22037721777458585	36.17677069060024	-2.694451866159464
52391.35485	38.64536980242153	-0.22585275433817997	36.20477069060024	-2.6664518661594654
				
52394.35545	38.65156170117955	-0.21966085558015444	36.21677069060024	-2.654451866159465
				
				
				
52398.98995	38.64197263946619	-0.22924991729351776	36.12877069060024	-2.742451866159466
52400.5303	38.60653924250901	-0.2646833142506989	36.05277069060024	-2.8184518661594664
#52735.998485000004	37.62441316591809	-1.2468093908416147	35.172770690600245	-3.698451866159462
				
#52740.171435	37.508411777997814	-1.3628107787618928	35.248770690600246	-3.6224518661594614
#52742.361415	37.54820689487491	-1.3230156618847984	35.18077069060024	-3.6904518661594663
				
#52747.837495	37.31337711568533	-1.55784544107438	35.21677069060024	-3.654451866159465
#52750.360855	37.237237175496624	-1.6339853812630831	35.15677069060024	-3.714451866159467
#52751.436385	37.206901672922584	-1.6643208838371235	35.276770690600245	-3.5944518661594627
#52756.83149	37.02376862557782	-1.8474539311818843	35.28477069060024	-3.586451866159467
				
				
52763.27235	36.79402976541508	-2.0771927913446246	35.29277069060024	-3.5784518661594644
				
				
				
52774.778395	36.504107465004694	-2.3671150917550134	35.248770690600246	-3.6224518661594614
				
				
				
				
52784.14855	36.28053218212789	-2.590690374631815	35.120770690600246	-3.7504518661594615
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
53044.306280000004	36.71785065147522	-2.15337190528449	35.40077069060024	-3.4704518661594674
				
				
