#MJD RXTE/ASMcpuntrate(1.5-12keV) +-
50199.613422 1.053000 0.342000 
50279.502343 0.754000 0.244000 
50352.462237 0.616000 0.191000 
50513.794595 0.854000 0.253000 
50538.534720 0.531000 0.173000 
50664.575262 3.309000 0.654000 
50810.721213 1.867000 0.481000 
50812.327709 2.291000 0.619000 
50917.241284 0.783000 0.261000 
50958.551806 0.648000 0.202000 
51000.739982 1.183000 0.394000 
51169.576971 1.505000 0.481000 
51380.486343 0.677000 0.203000 
51390.547583 0.824000 0.255000 
51407.389749 0.819000 0.272000 
51499.614225 7.590000 2.280000 
51529.538114 5.207000 1.613000 
51546.878576 3.079000 0.890000 
51564.285632 3.634000 0.672000 
51709.418288 0.920000 0.289000 
51740.589965 0.924000 0.276000 
51769.620841 0.492000 0.155000 
52107.509825 0.870000 0.239000 
52108.472208 1.084000 0.217000 
52130.466737 0.604000 0.175000 
52144.288390 1.115000 0.338000 
52429.495091 1.768000 0.567000 
52440.479467 1.122000 0.342000 
52509.476668 1.976000 0.595000 
52637.587540 1.873000 0.481000 
52738.260841 0.781000 0.217000 
53019.733837 4.150000 1.370000 
53270.425540 1.055000 0.261000 
53551.614030 2.029000 0.252000 
53552.560476 5.524000 0.271000 
53553.696067 11.678000 0.316000 
53554.565318 13.143000 0.344000 
53555.464219 14.264000 0.344000 
53556.418721 14.554000 0.369000 
53557.584040 14.406000 0.347000 
53558.577217 14.819000 0.288000 
53559.654844 14.542000 0.305000 
53560.592267 14.045000 0.386000 
53561.654227 14.264000 0.373000 
53562.580419 13.915000 0.313000 
53563.338934 12.988000 0.266000 
53564.472796 12.605000 0.280000 
53565.636659 12.391000 0.239000 
53566.653928 12.165000 0.314000 
53567.487370 10.338000 0.220000 
53568.576661 10.511000 0.268000 
53569.605563 11.650000 0.256000 
53570.446292 10.358000 0.301000 
53571.602393 9.204000 0.279000 
53572.488348 9.282000 0.305000 
53573.525992 9.059000 0.270000 
53574.649625 8.352000 0.275000 
53575.418879 8.034000 0.347000 
53576.412792 7.772000 0.438000 
53577.275679 7.985000 0.388000 
53578.354374 7.299000 0.469000 
53580.408586 7.322000 0.449000 
53581.382259 7.567000 0.550000 
53582.913380 6.765000 0.507000 
53583.650258 6.717000 0.400000 
53584.722566 5.677000 0.456000 
53585.698173 5.676000 0.495000 
53586.697965 6.234000 0.534000 
53587.855322 6.405000 0.527000 
53588.697010 5.336000 0.229000 
