#MJD, Vmag, +-, ref.
53552   15.9   0.1   Hynes.etal.2009
53563	16.10  0.03  Hynes.etal.2009
53568	16.31  0.03  Hynes.etal.2009
53570	16.22  0.03  Hynes.etal.2009
53573	16.36  0.03  Hynes.etal.2009
53574	16.27  0.03  Hynes.etal.2009
53575	16.22  0.03  Hynes.etal.2009
53576	16.33  0.03  Hynes.etal.2009
53577	16.41  0.03  Hynes.etal.2009
53578	16.35  0.03  Hynes.etal.2009
53579	16.37  0.03  Hynes.etal.2009
53580	16.33  0.03  Hynes.etal.2009
53583	16.47  0.03  Hynes.etal.2009
53584	16.45  0.03  Hynes.etal.2009
53585	16.43  0.03  Hynes.etal.2009
53586	16.45  0.03  Hynes.etal.2009
53588	16.41  0.03  Hynes.etal.2009
53589	16.49  0.03  Hynes.etal.2009
53590	16.45  0.03  Hynes.etal.2009
53591	16.45  0.03  Hynes.etal.2009
53592	16.53  0.03  Hynes.etal.2009
53593	16.46  0.03  Hynes.etal.2009
53593.08 16.46 0.02  CadolleBel.etal.2007
53594	16.49  0.03  Hynes.etal.2009
53603	16.64  0.03  Hynes.etal.2009
53606	16.62  0.03  Hynes.etal.2009
53607	16.62  0.03  Hynes.etal.2009
53608	16.64  0.03  Hynes.etal.2009
53615	16.58  0.03  Hynes.etal.2009
53617	16.68  0.03  Hynes.etal.2009
53618	16.59  0.03  Hynes.etal.2009
53620	16.62  0.03  Hynes.etal.2009
53621	16.58  0.03  Hynes.etal.2009
53622	16.67  0.03  Hynes.etal.2009
53623	16.60  0.03  Hynes.etal.2009
53625	16.64  0.03  Hynes.etal.2009
53628	16.61  0.03  Hynes.etal.2009
53630	16.64  0.03  Hynes.etal.2009
53631	16.68  0.03  Hynes.etal.2009
53633	16.65  0.03  Hynes.etal.2009
53634	16.65  0.03  Hynes.etal.2009
53640	16.68  0.03  Hynes.etal.2009
53641	16.62  0.03  Hynes.etal.2009
53644	16.67  0.03  Hynes.etal.2009
53648	16.64  0.03  Hynes.etal.2009
53649	16.66  0.03  Hynes.etal.2009
53650	16.69  0.03  Hynes.etal.2009
53652	16.65  0.03  Hynes.etal.2009
53653	16.67  0.03  Hynes.etal.2009
53654	16.67  0.03  Hynes.etal.2009
53655	16.72  0.03  Hynes.etal.2009
53656	16.65  0.03  Hynes.etal.2009
53657	16.68  0.03  Hynes.etal.2009
53658	16.72  0.03  Hynes.etal.2009
53659	16.66  0.03  Hynes.etal.2009
53660	16.76  0.03  Hynes.etal.2009
53661	16.70  0.03  Hynes.etal.2009
54268   16.62  0.05  Durant.etal.2009
54269   16.49  0.14  Durant.etal.2009
54270   16.49  0.10  Durant.etal.2009
54271   16.55  0.11  Durant.etal.2009
