#MJD	log(Lx_bol)	log(Lx/L_Edd)	log(L_opt)	log(Lopt/L_Edd)
51633.37405	36.14267683792301	-2.8210165673150063	34.193278558977696	-4.770414846260323
51634.8833	36.182434502349	-2.781258902889022	34.2600467416131	-4.703646663624916
51635.9478	36.20747403382288	-2.7562193714151353	34.22642263799216	-4.73727076724586
51637.6135	36.20008984454021	-2.76360356069781	34.174078795900435	-4.789614609337583
51638.8685	36.223513089383935	-2.7401803158540834	34.20927846852076	-4.754414936717261
51642.573749999996	36.248144612364946	-2.7155487928730726	34.27167866323403	-4.692014742003991
51647.2715	36.24747397893639	-2.716219426301628	34.21127879317218	-4.7524146120658415
51647.955	36.250395110897905	-2.7132982943401136	34.22927842309657	-4.734414982141452
51649.018	36.242561334666405	-2.7211320705716138	34.226769935216915	-4.736923470021104
51649.591	36.25074095729541	-2.7129524479426057	34.12527833096493	-4.838415074273087
51650.934649999996	36.268655186894335	-2.6950382183436834	34.139278765128424	-4.8244146401095955
51652.520000000004	36.28206352512178	-2.681629880116241	34.133449935216916	-4.830243470021102
51654.8675	36.26964926437606	-2.6940441408619553	34.22927842309657	-4.734414982141452
51659.0775	36.31315186030698	-2.650541544931038	34.185278754186385	-4.778414651051634
51661.002	36.28103458622877	-2.6826588190092484	34.15327858837317	-4.810414816864849
51662.945349999995	36.286357090281896	-2.6773363149561225	34.23499475705445	-4.728698648183567
51665.327	36.283191766878346	-2.6805016383596727	34.20527871743788	-4.7584146878001405
51668.363450000004	36.25914169315905	-2.7045517120789673	34.22661053078714	-4.737082874450877
51670.75965	36.301764171051154	-2.661929234186865	34.22927842309657	-4.734414982141452
51674.47775	36.211248878020136	-2.752444527217883	34.269278842010635	-4.694414563227384
51675.61725	36.22896397754245	-2.73472942769557	34.26887498674148	-4.6948184184965385
51676.25615	36.128307691881645	-2.835385713356374	34.17594700959397	-4.787746395644049
51679.6465	36.22488447601919	-2.7388089292188273	34.309278301857645	-4.654415103380373
51683.655	36.264002190585835	-2.699691214652184	33.88354681478583	-5.080146590452188
51686.9065	36.16890398489946	-2.7947894203385606	34.11727889940682	-4.846414505831199
51691.14	36.18807190476393	-2.7756215004740885	34.069278615101304	-4.8944147901367145
51692.6801	36.16403089210946	-2.79966251312856	34.07138231218849	-4.892311093049528
51699.67375	36.13508423624013	-2.8286091689978865	34.20927846852076	-4.754414936717261
51706.054000000004	36.16246318922804	-2.801230216009977	34.2559469376781	-4.707746467559922
51719.71	36.15589396498513	-2.8077994402528863	33.87647773521469	-5.087215670023326
51720.0985	36.14729148542776	-2.8164019198102612	34.189278965265935	-4.774414439972084
51730.691999999995	36.06940299011782	-2.8942904151201962	34.20927846852076	-4.754414936717261
51732.70775	36.063642638814905	-2.900050766423114	34.189278965265935	-4.774414439972084
51748.35025	35.6257410494459	-3.3379523557921194	34.0492784888967	-4.914414916341322
51751.365000000005	35.39140582281535	-3.572287582422668	33.869278671983025	-5.094414733254993
53383.226500000004	35.95477421128883	-3.00891919394919	33.876697844072694	-5.086995561165324
53384.1415	35.99865244975279	-2.9650409554852293	33.903337844072695	-5.060355561165324
53385.575	35.952400828826065	-3.0112925764119542	33.87225784407269	-5.091435561165326
53386.43	35.90819177924951	-3.0555016259885055	33.90225080114036	-5.061442604097657
53387.354999999996	35.859756099013296	-3.1039373062247226	33.89641281502417	-5.067280590213848
53388.545	36.416289037523455	-2.5474043677145635	33.920489935216914	-5.043203470021106
53389.54	35.794878860508454	-3.1688145447295644	33.85480097709687	-5.1088924281411465
53390.541014999995	35.75754990528192	-3.206143499956099	33.854855987442285	-5.108837417795733
53391.25375	35.69905142674456	-3.2646419784934584	33.816257844072695	-5.147435561165324
53391.7782	35.651085824516585	-3.312607580721434	33.839033873914076	-5.1246595313239425
53393.574844999996	35.5061923696276	-3.4575010356104205	33.818610721629206	-5.1450826836088135
53394.322889999996	35.44128856774186	-3.5224048374961616	33.780219862505156	-5.183473542732862
53395.514845	35.337906463507736	-3.6257869417302833	33.79286033873732	-5.170833066500698
53396.0975	35.26076791060428	-3.7029254946337393	33.749922158296414	-5.213771246941604
53398.632	35.088964658255115	-3.8747287469829037	33.59905784407269	-5.364635561165329
53399.3235	34.967277130736235	-3.9964162745017835	33.580137844072695	-5.383555561165323
53399.9685	34.84326593627512	-4.120427468962902	33.572817844072695	-5.390875561165324
53403.705	34.56431189519329	-4.399381510044727	33.41141724878709	-5.5522761564509295
