targets,log(Lx_bol),log(L_opt)
NGC2617,43.75659032,42.66783095
NGC2617,43.66310747,42.66624856
NGC2617,43.67248784,42.66299999
NGC2617,43.66875997,42.653456
NGC2617,43.74887619,42.66382916
NGC2617,44.1357809,42.66382916
NGC2617,44.26421818,42.67982862
NGC2617,44.23978573,42.70051332
NGC2617,44.23217967,42.72851525
NGC2617,44.23166784,42.74110531
NGC2617,44.1395961,42.76851466
NGC2617,44.15207668,42.75544108
NGC2617,44.12412997,42.76110535
NGC2617,44.14463145,42.76169293
NGC2617,44.16180918,42.77710525
NGC2617,44.11484699,42.77480499
NGC2617,44.24279124,42.76173522
NGC2617,44.23978573,42.76919478
NGC2617,44.21014552,42.77155288
NGC2617,44.26326682,42.78790981
NGC2617,44.24129108,42.80051428
NGC2617,44.1514611,42.76538923
NGC2617,44.24923269,42.77155288
NGC2617,44.08430892,42.77023338
NGC2617,44.12347344,42.76519195
NGC2617,43.90096717,42.76051552
NGC2617,43.84485123,42.7373856
NGC2617,43.64172848,42.73995868
NGC2617,43.16659484,42.70390805
NGC2617,43.58430535,42.6919585
NGC2617,43.58430535,42.67595885
NGC2617,43.95260684,42.69310306
NGC2617,44.06142661,42.67595885
NGC2617,43.58657321,42.66540742
NGC2617,43.26231338,42.65205987
NGC2617,43.36772997,42.65495395
NGC2617,43.47645825,42.65310623
NGC2617,43.69420709,42.62782881
NGC2617,43.73784089,42.64468248
NGC2617,43.81515534,42.64250305
NGC2617,43.58657321,42.63880429
NGC2617,44.04678175,42.66868163
NGC2617,43.80706267,42.66403504
NGC2617,43.71320511,42.63850706
NGC2617,44.08646067,42.68783095
NGC2617,44.19924672,42.6945054
NGC2617,43.89210371,42.65499793
NGC2617,44.15453033,42.6943965
NGC2617,43.80977702,42.69544032
NGC2617,43.63973172,42.64295435
NGC2617,43.4735337,42.6367281
NGC2617,43.61502584,42.59899821
NGC2617,43.75043001,42.57357318
NGC2617,43.80433125,42.59421354
NGC2617,43.91499529,42.59025086
NGC2617,44.07559369,42.61698105
NGC2617,44.07559369,42.61897921
NGC2617,44.09566367,42.64697907
NGC2617,43.50739197,42.63024966
NGC2617,43.68348323,42.64073948
NGC2617,43.75811684,42.65850721
NGC2617,43.87264589,42.63421002
NGC2617,43.88533535,42.63674149
NGC2617,43.96128338,42.61668207
NGC2617,44.14400522,42.63757337
NGC2617,44.14022872,42.63912269
NGC2617,44.13386065,42.65512542
NGC2617,44.04678175,42.64783172
NGC2617,44.01927533,42.64709734
NGC2617,43.94375342,42.63941282
NGC2617,44.16599951,42.65205987
NGC2617,44.02260327,42.65982996
NGC2617,44.0091357,42.69583006
NGC2617,44.13064126,42.67674256
NGC2617,44.05914684,42.66873062
NGC2617,44.11884973,42.67423197
NGC2617,44.0928527,42.66969488
NGC2617,43.82961126,42.66639478
NGC2617,43.82831679,42.66451507
NGC2617,43.63165159,42.65080271
NGC2617,43.81648958,42.64680309
NGC2617,43.80842196,42.66239689
NGC2617,44.10945196,42.66940634
NGC2617,43.72978324,42.62382967
NGC2617,43.61290215,42.64068006
NGC2617,43.89433659,42.63912269
NGC2617,43.83602636,42.65298327
NGC2617,43.87845983,42.65424814
NGC2617,44.06595055,42.65182314
NGC2617,44.05068379,42.67899776
NGC2617,44.11080701,42.68299959
NGC2617,43.90206249,42.68860014
NGC2617,44.11484699,42.68006069
NGC2617,43.7918227,42.68006069
NGC2617,43.73943463,42.64405795
NGC2617,43.53880043,42.63822978
NGC2617,43.61076802,42.64146149
NGC2617,43.57742983,42.63439638
NGC2617,43.34466467,42.62460033
NGC2617,43.37881895,42.63020956
NGC2617,43.83729809,42.64312593
NGC2617,43.77748825,42.62073988
NGC2617,43.30327198,42.63668393
NGC2617,43.34859496,42.6070959
NGC2617,43.57044371,42.60250367
NGC2617,43.44315107,42.61024595
NGC2617,43.25751449,42.59268114
NGC2617,43.41048195,42.59582108
NGC2617,43.37881895,42.60157569
NGC2617,43.54382123,42.59897814
NGC2617,43.53880043,42.60068076
NGC2617,43.49917164,42.59182641
NGC2617,43.47645825,42.6139621
NGC2617,43.67984894,42.59100108
NGC2617,43.6554545,42.59112391
NGC2617,43.66310747,42.60299977
NGC2617,43.56572307,42.61146777
NGC2617,43.62755444,42.60957528
NGC4151,43.59317781,42.11673765
NGC4151,43.65653983,42.09849905
