Source,d(kpc),+-,Ref,Av,+-,Ref,M_BH,+-,Ref,Optical,Outburst,(all with dmag < 0.3),,,,Reddened flux (mJy),,,,De-reddened flux (mJy),,,,,X-ray,F_X_unabs,range,MJD,log(Lx_bol),log(Lx/L_Edd),log(L_opt),log(Lopt/L_Edd),optical lag,+-,ref(lag),Notes
,,,,,,,(M_sol),,,MJD,,V_mag,g'_mag,R_mag,r'_mag,S_nu_V,S_nu_g',S_nu_R,S_nu_r',F_nu_V,F_nu_g',F_nu_R,F_nu_r',,MJD,0.1-250,keV,,,,,,wrt X-ray(s),,,
GX_339-4,10.5,4.5,Saikia19,3.25,0.25,Gandhi11,5.9,3.6,Saikia19,53791.34719,2006hard,16.36,,,,1.039019922,,,,20.73117294,,,,,,,,,,,,,,,,
,,,,,,,,,,53793.38012,2006hard,16.37,,,,1.02949413,,,,20.5411084,,,,,,,,,,,,,,,,
,,,,,,,,,,53794.29747,2006hard,16.49,,,,0.92177277,,,,18.39178471,,,,,,,,,,,,,,,,
,,,,,,,,,,53797.36444,2006hard,16.43,,,,0.9741456029,,,,19.43676011,,,,,,,,,,,,,,,,
,,,,,,,,,,53798.37129,2006hard,16.45,,,,0.9563654419,,,,19.08199925,,,,,,,,,,,,,,,,
,,,,,,,,,,53799.36097,2006hard,16.38,,,,1.020055671,,,,20.35278639,,,,,,,,,,,,,,,,
,,,,,,,,,,53800.34844,2006hard,16.47,,,,0.9389098053,,,,18.73371352,,,,,,,,,,,,,,,,
,,,,,,,,,,53801.33019,2006hard,16.36,,,,1.039019922,,,,20.73117294,,,,,,,,,,,,,,,,
,,,,,,,,,,53802.33103,2006hard,16.33,,,,1.068129413,,,,21.31198366,,,,,,,,,,,,,,,,
,,,,,,,,,,53803.30736,2006hard,16.48,,,,0.9303018285,,,,18.5619618,,,,,,,,,,,,,,,,
,,,,,,,,,,53804.35205,2006hard,16.33,,,,1.068129413,,,,21.31198366,,,,,,,,,,,,,,,,
,,,,,,,,,,53805.29526,2006hard,16.44,,,,0.9652145823,,,,19.25856282,,,,,,,,,,,,,,,,
,,,,,,,,,,53806.29845,2006hard,16.4,,,,1.001437557,,,,19.98130617,,,,,,,,,,,,,,,,
,,,,,,,,,,53807.33189,2006hard,16.47,,,,0.9389098053,,,,18.73371352,,,,,,,,,,,,,,,,
,,,,,,,,,,53808.29069,2006hard,16.51,,,,0.9049485209,,,,18.05609681,,,,,,,,,,,,,,,,
,,,,,,,,,,53809.27884,2006hard,16.28,,,,1.118468802,,,,22.31638651,,,,,,,,,,,,,,,,
,,,,,,,,,,53810.28796,2006hard,16.46,,,,0.9475974308,,,,18.90705443,,,,,,,,,,,,,,,,
,,,,,,,,,,53811.28695,2006hard,16.52,,,,0.896651903,,,,17.89055752,,,,,,,,,,,,,,,,
,,,,,,,,,,53812.33974,2006hard,16.36,,,,1.039019922,,,,20.73117294,,,,,,,,,,,,,,,,
,,,,,,,,,,53813.31516,2006hard,16.33,,,,1.068129413,,,,21.31198366,,,,,,,,,,,,,,,,
,,,,,,,,,,53814.29284,2006hard,16.26,,,,1.139262689,,,,22.73127911,,,,,,,,,,,,,,,,
,,,,,,,,,,53815.34494,2006hard,16.44,,,,0.9652145823,,,,19.25856282,,,,,,,,,,,,,,,,
,,,,,,,,,,53816.32434,2006hard,16.34,,,,1.058336744,,,,21.11659422,,,,,,,,,,,,,,,,
,,,,,,,,,,53817.34149,2006hard,16.32,,,,1.078012693,,,,21.50918102,,,,,,,,,,,,,,,,
,,,,,,,,,,53818.3218,2006hard,16.37,,,,1.02949413,,,,20.5411084,,,,,,,,,,,,,,,,
,,,,,,,,,,53819.23892,2006hard,16.3,,,,1.098054446,,,,21.90906655,,,,,,,,,,,,,,,,
,,,,,,,,,,53820.30027,2006hard,16.36,,,,1.039019922,,,,20.73117294,,,,,,,,,,,,,,,,
,,,,,,,,,,53821.32369,2006hard,16.31,,,,1.087987422,,,,21.70820302,,,,,,,,,,,,,,,,
,,,,,,,,,,53822.29826,2006hard,16.33,,,,1.068129413,,,,21.31198366,,,,,,,,,,,,,,,,
,,,,,,,,,,53823.31865,2006hard,16.26,,,,1.139262689,,,,22.73127911,,,,,,,,,,,,,,,,
,,,,,,,,,,53824.32971,2006hard,16.47,,,,0.9389098053,,,,18.73371352,,,,,,,,,,,,,,,,
,,,,,,,,,,53826.28222,2006hard,16.22,,,,1.182017413,,,,23.584348,,,,,,,,,,,,,,,,
,,,,,,,,,,53827.35266,2006hard,16.31,,,,1.087987422,,,,21.70820302,,,,,,,,,,,,,,,,
,,,,,,,,,,53828.30689,2006hard,16.43,,,,0.9741456029,,,,19.43676011,,,,,,,,,,,,,,,,
,,,,,,,,,,53829.27271,2006hard,16.46,,,,0.9475974308,,,,18.90705443,,,,,,,,,,,,,,,,
,,,,,,,,,,53831.19111,2006hard,16.32,,,,1.078012693,,,,21.50918102,,,,,,,,,,,,,,,,
,,,,,,,,,,53832.27987,2006hard,16.2,,,,1.203992758,,,,24.02281377,,,,,,,,,,,,,,,,
,,,,,,,,,,53833.29154,2006hard,16.3,,,,1.098054446,,,,21.90906655,,,,,,,,,,,,,,,,
,,,,,,,,,,53834.28252,2006hard,16.28,,,,1.118468802,,,,22.31638651,,,,,,,,,,,,,,,,
,,,,,,,,,,53835.25177,2006hard,16.34,,,,1.058336744,,,,21.11659422,,,,,,,,,,,,,,,,
,,,,,,,,,,53836.19285,2006hard,16.38,,,,1.020055671,,,,20.35278639,,,,,,,,,,,,,,,,
,,,,,,,,,,53837.25092,2006hard,16.43,,,,0.9741456029,,,,19.43676011,,,,,,,,,,,,,,,,
,,,,,,,,,,53839.24994,2006hard,16.39,,,,1.010703744,,,,20.16619092,,,,,,,,,,,,,,,,
,,,,,,,,,,53841.27951,2006hard,16.45,,,,0.9563654419,,,,19.08199925,,,,,,,,,,,,,,,,
,,,,,,,,,,53844.3551,2006hard,16.33,,,,1.068129413,,,,21.31198366,,,,,,,,,,,,,,,,
,,,,,,,,,,53845.28854,2006hard,16.37,,,,1.02949413,,,,20.5411084,,,,,,,,,,,,,,,,
,,,,,,,,,,53846.25368,2006hard,16.4,,,,1.001437557,,,,19.98130617,,,,,,,,,,,,,,,,
,,,,,,,,,,53847.24959,2006hard,16.43,,,,0.9741456029,,,,19.43676011,,,,,,,,,,,,,,,,
,,,,,,,,,,53848.25105,2006hard,16.34,,,,1.058336744,,,,21.11659422,,,,,,,,,,,,,,,,
,,,,,,,,,,53849.22357,2006hard,16.59,,,,0.8406667577,,,,16.77350701,,,,,,,,,,,,,,,,
,,,,,,,,,,53851.24208,2006hard,16.48,,,,0.9303018285,,,,18.5619618,,,,,,,,,,,,,,,,
,,,,,,,,,,53852.29487,2006hard,16.42,,,,0.9831592612,,,,19.61660623,,,,,,,,,,,,,,,,
,,,,,,,,,,53853.30892,2006hard,16.45,,,,0.9563654419,,,,19.08199925,,,,,,,,,,,,,,,,
,,,,,,,,,,53854.32056,2006hard,16.55,,,,0.8722156494,,,,17.40299016,,,,,,,,,,,,,,,,
,,,,,,,,,,53855.31466,2006hard,16.51,,,,0.9049485209,,,,18.05609681,,,,,,,,,,,,,,,,
,,,,,,,,,,53856.30684,2006hard,16.51,,,,0.9049485209,,,,18.05609681,,,,,,,,,,,,,,,,
,,,,,,,,,,53858.27983,2006hard,16.74,,,,0.7321901372,,,,14.60911388,,,,,,,,,,,,,,,,
,,,,,,,,,,53860.17291,2006hard,16.65,,,,0.7954701265,,,,15.87171566,,,,,53860.99,0.0000000020879,,53860.58146,37.44007358,-1.431148973,35.52698459,-3.344237962,,,,
,,,,,,,,,,53862.25776,2006hard,16.66,,,,0.7881772125,,,,15.7262029,,,,,,,,,,,,,,,,
,,,,,,,,,,53863.17171,2006hard,16.7,,,,0.7596680732,,,,15.15737078,,,,,,,,,,,,,,,,
,,,,,,,,,,53866.20759,2006hard,16.72,,,,0.7458025682,,,,14.88071759,,,,,,,,,,,,,,,,
,,,,,,,,,,53867.19719,2006hard,16.86,,,,0.6555772506,,,,13.08048583,,,,,,,,,,,,,,,,
,,,,,,,,,,53868.17256,2006hard,16.91,,,,0.6260714139,,,,12.49176699,,,,,,,,,,,,,,,,
,,,,,,,,,,53869.12377,2006hard,16.72,,,,0.7458025682,,,,14.88071759,,,,,53869.62,0.0000000011786,,53869.37189,37.19173033,-1.679492231,35.49898459,-3.372237962,,,,
,,,,,,,,,,53871.25111,2006hard,16.88,,,,0.6436116172,,,,12.84174005,,,,,,,,,,,,,,,,
,,,,,,,,,,53872.2175,2006hard,16.93,,,,0.6146443227,,,,12.26376654,,,,,,,,,,,,,,,,
,,,,,,,,,,53873.26196,2006hard,16.85,,,,0.6616432322,,,,13.20151807,,,,,,,,,,,,,,,,
,,,,,,,,,,53874.18043,2006hard,17.12,,,,0.5159693149,,,,10.2949413,,,,,,,,,,,,,,,,
,,,,,,,,,,53875.06568,2006hard,16.98,,,,0.5869807713,,,,11.71180613,,,,,,,,,,,,,,,,
,,,,,,,,,,53876.19455,2006hard,17.02,,,,0.5657491037,,,,11.28817866,,,,,53876.25,0.00000000054752,,53876.22228,36.85876388,-2.01245868,35.37898459,-3.492237962,,,,
,,,,,,,,,,53877.22498,2006hard,17.02,,,,0.5657491037,,,,11.28817866,,,,,,,,,,,,,,,,
,,,,,,,,,,53881.25473,2006hard,17.32,,,,0.4291645831,,,,8.562959196,,,,,,,,,,,,,,,,
,,,,,,,,,,53882.21915,2006hard,17.31,,,,0.4331355941,,,,8.642191282,,,,,,,,,,,,,,,,
,,,,,,,,,,53886.14795,2006hard,17.38,,,,0.4060914769,,,,8.102590203,,,,,,,,,,,,,,,,
,,,,,,,,,,53890.09629,2006hard,17.56,,,,0.3440518319,,,,6.864736545,,,,,,,,,,,,,,,,
,,,,,,,,,,53891.14164,2006hard,17.62,,,,0.3255546288,,,,6.495668822,,,,,,,,,,,,,,,,
,,,,,,,,,,53893.02864,2006hard,17.97,,,,0.23584348,,,,4.70569608,,,,,,,,,,,,,,,,
,,,,,,,,,,53896.09607,2006hard,17.77,,,,0.2835462282,,,,5.657491037,,,,,,,,,,,,,,,,
,,,,,,,,,,53900.16715,2006hard,18.28,,,,0.177265359,,,,3.536908906,,,,,,,,,,,,,,,,
,,,,,,,,,,53901.07466,2006hard,18.22,,,,0.1873371352,,,,3.73786726,,,,,,,,,,,,,,,,
,,,,,,,,,,53902.082,2006hard,18.54,,,,0.1395159545,,,,2.783709263,,,,,,,,,,,,,,,,
,,,,,,,,,,53903.10672,2006hard,18.37,,,,0.1631638238,,,,3.255546288,,,,,,,,,,,,,,,,
,,,,,,,,,,53904.26266,2006hard,18.41,,,,0.157262029,,,,3.13779,,,,,,,,,,,,,,,,
,,,,,,,,,,53905.20794,2006hard,18.55,,,,0.1382368645,,,,2.758188063,,,,,,,,,,,,,,,,
,,,,,,,,,,53906.20108,2006hard,18.73,,,,0.1171180613,,,,2.33681254,,,,,,,,,,,,,,,,
,,,,,,,,,,53907.16534,2006hard,18.33,,,,0.1692871036,,,,3.377721782,,,,,,,,,,,,,,,,
,,,,,,,,,,53908.1005,2006hard,18.56,,,,0.1369695013,,,,2.732900843,,,,,,,,,,,,,,,,
,,,,,,,,,,53909.17272,2006hard,18.75,,,,0.1149804157,,,,2.294160905,,,,,,,,,,,,,,,,
,,,,,,,,,,53911.15458,2006hard,18.87,,,,0.102949413,,,,2.05411084,,,,,,,,,,,,,,,,
,,,,,,,,,,53912.26481,2006hard,18.88,,,,0.1020055671,,,,2.035278639,,,,,,,,,,,,,,,,
,,,,,,,,,,53914.21202,2006hard,19.06,,,,0.08642191282,,,,1.724343858,,,,,,,,,,,,,,,,
,,,,,,,,,,53915.24814,2006hard,19.37,,,,0.06495668822,,,,1.296056321,,,,,,,,,,,,,,,,
,,,,,,,,,,53916.20543,2006hard,19.26,,,,0.07188261611,,,,1.43424675,,,,,,,,,,,,,,,,
,,,,,,,,,,53918.20827,2006hard,19.36,,,,0.06555772506,,,,1.308048583,,,,,,,,,,,,,,,,
,,,,,,,,,,53920.10617,2006hard,19.55,,,,0.05503308699,,,,1.098054446,,,,,,,,,,,,,,,,
,,,,,,,,,,53921.18237,2006hard,19.35,,,,0.06616432322,,,,1.320151807,,,,,,,,,,,,,,,,
,,,,,,,,,,53922.12467,2006hard,19.49,,,,0.05815992992,,,,1.160443164,,,,,,,,,,,,,,,,
,,,,,,,,,,53931.19518,2006hard,19.81,,,,0.04331355941,,,,0.8642191282,,,,,,,,,,,,,,,,
