Source,d(kpc),d_err,Av,Av_err,M_BH,M_BH_err,Optical,Outburst,V_mag,Reddened flux (mJy),De-reddened flux (mJy),X-ray MJD,F_X_unabs,log(Lx_bol),log(Lx/L_Edd),log(L_opt),log(Lopt/L_Edd),optical lag,lag_err
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52350.22855,,,,,,,36.01069547,-2.860527088,35.15277069,-3.718451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52359.4941,,,,,,,36.80233738,-2.068885176,35.46077069,-3.410451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52366.47045,,,,,,,38.02168596,-0.849536595,35.77677069,-3.094451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52367.57605,,,,,,,38.19466823,-0.676554324,35.84877069,-3.022451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52371.4204,,,,,,,38.42317085,-0.448051705,36.04477069,-2.826451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52373.27485,,,,,,,38.61654602,-0.254676538,36.08077069,-2.790451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52382.23435,,,,,,,38.59933419,-0.271888365,36.14877069,-2.722451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52383.21765,,,,,,,38.60592917,-0.265293388,36.13677069,-2.734451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52384.22345,,,,,,,38.60949234,-0.261730216,36.09277069,-2.778451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52386.1875,,,,,,,38.61866066,-0.252561901,36.20077069,-2.670451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52388.19595,,,,,,,38.62708534,-0.244137218,36.18077069,-2.690451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52390.58745,,,,,,,38.65084534,-0.220377218,36.17677069,-2.694451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52391.35485,,,,,,,38.6453698,-0.225852754,36.20477069,-2.666451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52394.35545,,,,,,,38.6515617,-0.219660856,36.21677069,-2.654451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52398.98995,,,,,,,38.64197264,-0.229249917,36.12877069,-2.742451866,10,5
GX_339-4,10.5,4.5,3.25,0.25,5.9,3.6,52400.5303,,,,,,,38.60653924,-0.264683314,36.05277069,-2.818451866,10,5
