Source,type,optical lag (s),+-,ref,,M_CO(Mo),+-,M_CS(Mo),+-,P(hr),+-,refs,orb.sep(cm),disc.radius(ls)
4U 1735-444,NS LMXB,2.8,0.5,McClintock.1979,,1.4,0.7,0.448,0.413,4.65200424,0.00000032,Casares.2006,122768939816,2.250763897
Ser X-1,NS LMXB,1.4,0.5,Hackwell.1979,,1.4,0.7,1,1,2.06,0.28,Cornelisse.2013,77817333071,1.426651106
4U 1636-536,NS LMXB,2.45,0.7609204952,Matsuoka.1984,,1.4,0.7,0.43,0.28,3.79312632,0.00000016,Casares.2006,106801253304,1.958022977
GS 1826-24,NS LMXB,3,1,Kong.2000,,1.4,0.7,1,1,2.2494,0.00015,Meshcheryakov.2010,82516852945,1.512808971
EXO 0748-676,NS LMXB,3.61,0.69,Hynes.2006,,1.4,0.7,0.29,0.13,3.823944,0.000288,Hynes.Jones.2009,104567734552,1.917075133
Sco X-1,NS LMXB,8.6,1.3,McGowan.2003,,1.4,0.7,0.95,0.55,18.8955168,0.000012,Wang.2018,338602052001,6.207704287
LMC X-2,NS LMXB,10.2,5.8,McGowan.2003,,1.4,0.7,1,1,7.68,0.48,Cornelisse.2007,187099377477,3.430155254
Cyg X-2,NS LMXB,2,2,Durant.2011,,1.67,0.22,0.56,0.07,236.274384,0.001752,Premachandra.2016,1792560528982,32.8636097
PSR J1023+0038,NS LMXB,5,5,Shahbaz.2018,,1.71,0.16,0.24,0.1,4.754308846,0.000024,"Deller.12, Archibald.09",1.27E+11,2.32
XTE J1118+480,BH LMXB,3,3,Hynes.2006,,7.3,0.7,0.18,0.07,4.078414,0.000005,Saikia.2019.and.refs.therein,179221120057,3.285720534
GX 339-4,BH LMXB,10,5,Gandhi.2010,,5.9,3.6,1.06,0.65,42.14,0.01,Saikia.2019.and.refs.therein,830030178023,15.21721993
GRO J1655-40,BH LMXB,15,5,Hynes.1998,,5.4,0.3,1.45,0.35,62.9258,0.0048,Saikia.2019.and.refs.therein,1078641526549,19.77509465
V404 Cyg,BH LMXB,30,20,Hynes.2019,,8.8,0.4,0.75,0.55,155.3136,0.0024,"Khargharia.2010,King.1993,Casares.Charles.1994",2200739119133,40.34688385
Swift J1753.5-0127,BH LMXB,2.5,2.5,Hynes.2009,,16.2,8.8,0.21,0.04,3.045,0.195,Saikia.2019.and.refs.therein,191655891311,3.513691341
MAXI J1820+070,BH LMXB,4.1,1.6,Kajava.2019,,7.035,1.305,0.525,0.245,16.45176,0.00024,"Torres.2019,2020",455767434402,8.355736297
